EMP_ID,FIRST_NAME,LAST_NAME,EMAIL,SALARY
1001,John,Smith,user1@example.com,50000
1002,Jane,Doe,user2@example.com,51000
1003,Alice,Johnson,user3@example.com,52000
1004,Bob,Brown,user4@example.com,53000
1005,Charlie,Davis,user5@example.com,54000
1006,David,Miller,user6@example.com,55000
1007,Eve,Wilson,user7@example.com,56000
1008,Frank,Moore,user8@example.com,57000
1009,Grace,Taylor,user9@example.com,58000
1010,Hank,Anderson,user10@example.com,59000
1011,Ivy,Thomas,user11@example.com,60000
1012,Jack,Jackson,user12@example.com,61000
1013,Kathy,White,user13@example.com,62000
1014,Leo,Harris,user14@example.com,63000
1015,Mona,Martin,user15@example.com,64000
1016,Nathan,Thompson,user16@example.com,65000
1017,Olivia,Garcia,user17@example.com,66000
1018,Paul,Martinez,user18@example.com,67000
1019,Quinn,Robinson,user19@example.com,68000
1020,Rachel,Clark,user20@example.com,69000
